序号,上部温度1,上部温度2,上部温度3,上部温度4,上部温度5,上部温度6,上部温度7,上部温度8,上部温度9,上部温度10,上部温度11,上部温度12,上部温度13,上部温度14,上部温度15,上部温度16,上部温度17,下部温度1,下部温度2,下部温度3,下部温度4,下部温度5,下部温度6,下部温度7,下部温度8,下部温度9,下部温度10,下部温度11,下部温度12,下部温度13,下部温度14,下部温度15,下部温度16,下部温度17
11,274.89322455409354,338.4498035768992,427.20942412366975,510.1176951272329,574.2784109894887,652.8802845531327,736.8949930996372,837,837,837,837,837,837,837,837,837,750,212.35840041469464,304.23871850340026,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
12,276.4693994999159,338.40975979207707,427.1816696685495,510.3755772253937,574.692281719109,652.9283559186222,737.474720352955,837,837,837,837,837,837,837,837,837,750,212.35840041469464,304.2274254643769,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
13,276.4693994999159,339.488605590406,427.2553741732318,510.3914720574695,573.4323396227305,656.6727933881999,736.1577819738962,837,837,837,837,837,837,837,837,837,750,212.35840041469464,304.2316502227855,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
14,276.73891495159944,338.4431990519304,427.268451270983,509.8023172646407,576.1728697941877,657.2500282688288,736.91060141074,837,837,837,837,837,837,837,837,837,750,212.37516274656377,304.3725610974876,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
15,275.1627400057771,338.48324283675254,427.6115158393547,509.8494551721238,574.3131247273474,652.8802845531327,736.9120564639662,837,837,837,837,837,837,837,837,837,750,212.37516274656377,304.2316502227855,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
16,276.73891495159944,339.5220448502593,427.3144013205451,509.82260473185727,574.9682956609973,656.676786270854,736.5034539663949,837,837,837,837,837,837,837,837,837,750,212.37516274656377,304.3725610974876,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
17,276.4693994999159,339.5220448502593,427.3067190214013,510.4322632375245,574.6479229062501,655.7782040730089,736.7975932291688,837,837,837,837,837,837,837,837,837,750,212.23279731233495,304.2274254643769,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
18,274.89322455409354,339.823732357286,424.7375358648183,509.99378435372927,571.8303337573292,645.4571544308365,737.5051674725037,837,837,837,837,837,837,837,837,837,750,212.31889026782332,304.47757552167224,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
19,275.1370969024257,338.36469978180713,427.2884275019853,509.52861637765386,574.3131247273474,653.0387672403092,737.3688008349754,837,837,837,837,837,837,837,837,837,750,212.23264809836363,304.0606695642352,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
20,274.7614803098567,338.36469978180713,427.3180851036111,510.158486307288,574.2784109894887,653.0922485372374,736.6887320456352,837,837,837,837,837,837,837,837,837,750,211.7755480463456,304.1293431249825,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
21,274.80600726748435,338.36469978180713,427.3080490256229,510.4831897039479,574.6453396565745,652.7743829605781,736.701518975208,837,837,837,837,837,837,837,837,837,750,212.21488000746552,304.06489432264374,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
22,276.4693994999159,339.4485370995317,427.5598980138082,510.39448708317855,574.6660764189312,655.6912143261771,736.6755156013829,837,837,837,837,837,837,837,837,837,750,212.39396201621716,304.2506973321702,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
23,271.97065083570726,337.4808905747716,427.3177221384177,509.5756782418872,574.3131247273474,652.8759733434158,736.7018986945916,837,837,837,837,837,837,837,837,837,750,211.9258243039258,304.13356788339104,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
24,275.0755227191679,337.2123462327506,427.25606823488295,509.8023172646407,574.6453396565745,652.6660324982536,735.9340111527588,837,837,837,837,837,837,837,837,837,750,212.21488000746552,304.06489432264374,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
25,276.33765525567907,339.488605590406,427.2486589131162,510.418322497736,574.7104352317901,652.7776741124809,736.9658815846727,837,837,837,837,837,837,837,837,837,750,212.0557522413676,304.2316502227855,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
26,274.79568249131063,338.36469978180713,427.3177221384177,510.45911367779104,574.2784109894887,652.8759733434158,736.9467846775532,837,837,837,837,837,837,837,837,837,750,212.2069691841141,304.06489432264374,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
27,274.79568249131063,337.2858539834782,427.2884275019853,510.4355417958573,574.692281719109,652.7250335429611,737.4490347771145,837,837,837,837,837,837,837,837,837,750,211.9258243039258,303.6815561860103,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
28,275.0309957615403,338.65122176135526,426.49271793015487,509.9494732687849,574.9522359967455,653.0454037984254,737.4048633506846,837,837,837,837,837,837,837,837,837,750,212.23264809836363,304.0606695642352,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
29,275.0651979429942,338.65122176135526,426.38896260112926,509.6384160207828,574.3131247273474,652.8736961358071,736.9065928955729,837,837,837,837,837,837,837,837,837,750,211.9258243039258,304.1293431249825,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
30,276.371857437133,339.5220448502593,427.3358034807431,509.82260473185727,574.7104352317901,652.6610251839936,736.516678559526,837,837,837,837,837,837,837,837,837,750,212.21488000746552,304.3003237835328,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
31,275.32686365683224,337.2858539834782,427.2798173531928,510.4424285899473,574.7104352317901,652.7639625334307,737.4188583905935,837,837,837,837,837,837,837,837,837,750,212.1981176755964,304.06489432264374,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
32,274.79568249131063,338.3312605219538,427.1734142271218,510.0654767977083,574.6453396565745,652.6570323013395,736.8608823038595,837,837,837,837,837,837,837,837,837,750,212.2158857664945,304.06489432264374,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
33,274.89322455409354,338.36469978180713,427.3080490256229,510.4322632375245,574.7104352317901,652.675542731354,736.8673792879165,837,837,837,837,837,837,837,837,837,750,212.07251457323676,304.06489432264374,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
34,276.55946620436805,340.50915560145427,428.3885226955536,510.96035418043823,574.8772844085483,652.6896907187863,737.5207331682238,837,837,837,837,837,837,837,837,837,750,212.26720099327096,303.33102703228127,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
35,276.371857437133,338.36969130120275,427.2661043128712,510.1970663401801,574.6080420906043,652.9856956296554,736.5209020710585,837,837,837,837,837,837,837,837,837,750,212.23367927711888,303.8464567512252,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
36,275.26204684268254,338.5404041024172,427.3257674027549,510.8244438091466,574.2602574768076,652.7783758432322,736.9290632918951,837,837,837,837,837,837,837,837,837,750,212.21488000746552,303.7812121201398,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
37,276.371857437133,339.488605590406,427.23898580032136,510.5688190123114,574.7218114494195,655.8085649854157,736.9301363248161,837,837,837,837,837,837,837,837,837,750,212.1981176755964,304.23871850340026,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
38,270.6056446237722,338.4580138866148,426.9821023649111,504.0902402605,571.026541601237,657.2838032498998,736.8913890622702,837,837,837,837,837,837,837,837,837,750,202.4549478840808,303.5446483514581,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
39,276.73891495159944,339.5624134133335,427.6115158393547,510.17299031402325,574.7007901567898,655.470553278641,735.3255831342102,837,837,837,837,837,837,837,837,837,750,212.23279731233495,304.50497342625005,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
40,275.0900734537819,337.46155830408827,427.3080490256229,510.5375420138604,574.2602574768076,652.7454585603866,737.1958227742423,837,837,837,837,837,837,837,837,837,750,211.94374160879525,304.2316502227855,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
41,276.73891495159944,339.5220448502593,427.6118788045481,510.1461398737568,574.7007901567898,655.6662791385343,735.8943746932446,837,837,837,837,837,837,837,837,837,750,212.37516274656377,304.2316502227855,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
42,276.371857437133,339.4485370995317,426.9334327226541,509.79520097901445,574.6191343563967,655.7921927950683,736.1973560904421,837,837,837,837,837,837,837,837,837,750,212.23367927711888,304.24647257376165,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
43,275.4958480096315,337.64113426394044,427.11092973892727,509.3009876635712,575.2076046509806,656.0071111487846,737.390752230643,837,837,837,837,837,837,837,837,837,750,211.7057321647443,304.12036683889386,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
44,278.01571850249894,333.38459144560284,426.4197769938663,509.5488278016207,574.3284662487561,652.8759733434158,736.7018986945916,837,837,837,837,837,837,837,837,837,750,211.9258243039258,303.8498856808871,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
45,273.3748523926289,338.85124987204426,425.728212181086,509.6143541586529,574.470668934037,656.0289155118988,735.7973216928111,837,837,837,837,837,837,837,837,837,750,212.08760426685888,304.0427569710283,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
46,276.54129845934744,339.80856682980743,427.2884275019853,509.6122238346693,574.7104352317901,652.650443884014,737.142241394622,837,837,837,837,837,837,837,837,837,750,212.38502001411044,304.2274254643769,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
47,275.337188433006,337.4043970384236,427.2884275019853,510.1253663207065,574.2133154142731,652.9417365416615,737.7063295371042,837,837,837,837,837,837,837,837,837,750,211.9258243039258,304.3003237835328,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
48,276.64137288881653,339.4035017953139,426.9933037968267,509.82260473185727,574.7451489696488,652.654436766668,736.659016864216,837,837,837,837,837,837,837,837,837,750,212.21488000746552,304.368336339079,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
49,276.73891495159944,339.5220448502593,427.62959718168014,510.1461398737568,574.7007901567898,655.69153265324,736.667629781351,837,837,837,837,837,837,837,837,837,750,212.37516274656377,304.2316502227855,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
50,276.435197318462,339.4485370995317,427.1382990266021,510.3797975000397,574.6660764189312,655.8606447811867,737.5674726984763,837,837,837,837,837,837,837,837,837,750,212.35840041469464,304.2344937449917,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
51,274.89322455409354,338.3312605219538,427.48682945169634,510.35321644878127,574.6660764189312,655.8885010147886,736.6694278385454,837,837,837,837,837,837,837,837,837,750,212.35840041469464,304.2344937449917,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
52,276.73891495159944,339.5220448502593,427.03064369759625,509.5488278016207,574.3131247273474,652.8759733434158,736.9570517550416,837,837,837,837,837,837,837,837,837,750,212.08610704302404,304.01664158102886,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
53,274.9803072238039,338.35849638723244,424.4311223468096,510.0119489752002,576.8633408784258,659.6450417594178,738.6591033663582,837,837,837,837,837,837,837,837,837,750,210.45539868917825,304.5726230377373,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
54,276.4693994999159,339.488605590406,427.2553741732318,510.10534869370167,574.6660764189312,655.8822991346515,736.4778806644733,837,837,837,837,837,837,837,837,837,750,212.23279731233495,304.3003237835328,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
55,273.38517716880267,338.60479638337046,426.6136930767648,510.1176951272329,574.2897872071181,652.8930100598313,735.8986259348118,837,837,837,837,837,837,837,837,837,750,211.94374160879525,304.3003237835328,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
56,274.89322455409354,338.36469978180713,427.03064369759625,510.4322632375245,574.2602574768076,652.8693849260902,736.9561524290302,837,837,837,837,837,837,837,837,837,750,212.37516274656377,304.06489432264374,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
57,275.1627400057771,337.4043970384236,427.3144013205451,509.76591871972647,574.9682956609973,656.5647754608689,737.159834690793,837,837,837,837,837,837,837,837,837,750,212.37516274656377,304.3725610974876,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
58,276.435197318462,339.5220448502593,427.6118788045481,510.4322632375245,574.8866398606042,656.8678079499699,737.1104243806104,837,837,837,837,837,837,837,837,837,750,212.21603498046585,304.3725610974876,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
59,275.1627400057771,338.48324283675254,427.6195611036919,509.87236294352016,574.2158986639487,655.6993626264831,737.3682951567399,837,837,837,837,837,837,837,837,837,750,211.94374160879525,304.3003237835328,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
60,275.1627400057771,337.330889287696,427.532386206738,510.0520420834943,574.7007901567898,655.7292379329531,737.4686606108133,837,837,837,837,837,837,837,837,837,750,212.35840041469464,304.2316502227855,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
61,277.49825899828306,337.0512639995616,427.6018427265599,510.400769681409,574.161013488432,652.6556120711061,736.527541854711,837,837,837,837,837,837,837,837,837,750,212.123827944084,304.3725610974876,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
62,276.4693994999159,339.4035017953139,426.9846936480342,510.4322632375245,574.7104352317901,652.8693849260902,736.6972086199797,837,837,837,837,837,837,837,837,837,750,212.35840041469464,304.2316502227855,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
63,276.6662483996042,339.6977491708694,426.974657570046,511.1346192842974,574.6453396565745,655.8009366124168,735.9460157438765,837,837,837,837,837,837,837,837,837,750,212.35840041469464,303.92054940010684,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
64,274.89322455409354,338.36469978180713,427.6115158393547,510.45911367779104,574.6660764189312,655.7098845043245,735.8676474950474,837,837,837,837,837,837,837,837,837,750,212.23279731233495,304.2316502227855,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
65,276.4693994999159,339.488605590406,427.2376557960998,510.3914720574695,574.6660764189312,655.6713749017255,736.8656146106963,837,837,837,837,837,837,837,837,837,750,212.35840041469464,304.3725610974876,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
66,276.51742105406726,339.488605590406,427.2177916244122,510.4150380830188,574.6009808437155,655.9820791789459,737.3522582590526,837,837,837,837,837,837,837,837,837,750,212.25056540323308,304.2316502227855,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
67,275.1627400057771,338.36469978180713,427.3244373985333,510.1461398737568,574.7451489696488,652.7192355259438,736.7010917931127,837,837,837,837,837,837,837,837,837,750,212.37516274656377,304.3725610974876,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
68,276.4693994999159,338.36969130120275,427.24470215267314,510.411975770308,574.6660764189312,655.5835147259089,736.6573624234859,837,837,837,837,837,837,837,837,837,750,212.39396201621716,304.39160820687226,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
69,275.06556330885167,339.5220448502593,427.3350492549207,509.7513408089708,574.6191343563967,655.6904307500694,736.2284986002514,837,837,837,837,837,837,837,837,837,750,212.37516274656377,303.327093838867,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
70,276.50709627789354,338.4431990519304,427.2458792098816,510.3991432509431,574.6191343563967,655.7954787100136,737.7024201922609,837,837,837,837,837,837,837,837,837,750,212.25056540323308,303.3228690804584,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
71,276.4693994999159,339.4485370995317,426.9509084517361,509.79520097901445,573.2646434315973,652.5490143740085,736.3459030493367,837,837,837,837,837,837,837,837,837,750,212.3766599703986,304.2506973321702,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
72,275.5870524378496,337.5381800764213,426.8818452264346,511.0530329491543,574.6453396565745,652.9296621728304,736.6346351159251,837,837,837,837,837,837,837,837,837,750,212.25159658198837,304.2506973321702,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
73,276.4693994999159,339.5220448502593,427.3244373985333,510.4322632375245,573.164834118523,655.6849493166816,737.125250064046,837,837,837,837,837,837,837,837,837,750,212.23279731233495,304.2316502227855,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
74,276.4693994999159,339.488605590406,426.9441047432128,510.3914720574695,574.6634931692556,652.6757024794869,736.6875128757338,837,837,837,837,837,837,837,837,837,750,212.35840041469464,304.2316502227855,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
75,276.73891495159944,339.5220448502593,429.7933281609946,510.36097799484816,576.2700958575864,657.1987175446175,736.4095852983119,837,837,837,837,837,837,837,837,837,750,212.37516274656377,304.3725610974876,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
76,274.89322455409354,338.48324283675254,429.50697411115135,510.077180111386,574.7104352317901,652.7423081799659,736.3323636656465,837,837,837,837,837,837,837,837,837,750,212.35840041469464,304.3796293781023,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
77,277.16322738367194,338.3977947254524,429.662005418915,510.7153014827812,576.2493415870327,657.0136034583592,737.2426927306328,837,837,837,837,837,837,837,837,837,750,212.39396201621716,304.9482812789273,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
78,276.73891495159944,339.5220448502593,427.3244373985333,509.82260473185727,574.9682956609973,656.6724750611371,736.9717666128998,837,837,837,837,837,837,837,837,837,750,212.37516274656377,304.2316502227855,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
79,276.116375781765,339.5220448502593,429.8108038900766,510.36097799484816,574.8365323820694,657.1983992175547,736.121295497327,837,837,837,837,837,837,837,837,837,750,212.37516274656377,304.9292341695426,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
80,275.1627400057771,338.48324283675254,427.3144013205451,509.82260473185727,573.5616786661153,656.6475398734942,736.121295497327,837,837,837,837,837,837,837,837,837,750,212.37516274656377,304.9292341695426,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
81,276.73891495159944,339.5220448502593,427.3244373985333,510.10872809562505,576.272679107262,657.2027104272715,736.5034539663949,837,837,837,837,837,837,837,837,837,750,212.37516274656377,304.7883232948405,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
82,276.50709627789354,338.3660173768505,427.1382990266021,510.0595547207961,574.3160707640384,656.7646576841519,737.344450657703,837,837,837,837,837,837,837,837,837,750,212.41173010711523,304.80737040422525,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
83,276.116375781765,339.5220448502593,429.8108038900766,510.36097799484816,574.8365323820694,657.1987175446175,735.8553651942559,837,837,837,837,837,837,837,837,837,750,212.37516274656377,304.5249935885976,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
84,276.73891495159944,339.5220448502593,427.3063560562079,510.17299031402325,576.272679107262,657.1918108002291,736.6998726232113,837,837,837,837,837,837,837,837,837,750,212.37516274656377,303.82740964184046,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
85,276.73891495159944,339.5220448502593,429.7734639893071,510.4558292630739,576.2198118567222,657.1737823569746,737.1397563032721,837,837,837,837,837,837,837,837,837,750,212.37516274656377,304.92500941113406,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
86,276.7039451775819,338.61890337254044,429.7172352137067,511.5020533325841,576.1728697941877,657.5306667878787,737.4490347771145,837,837,837,837,837,837,837,837,837,750,212.24265457988164,304.4772224721619,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
87,276.116375781765,339.5220448502593,429.7930855129446,511.0215629669388,574.7367230689952,657.2606095688085,736.5496684273717,837,837,837,837,837,837,837,837,837,750,212.37516274656377,304.9292341695426,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
88,274.59311812513835,337.98190521424993,427.2296265911172,509.3888580395465,576.7794936014527,657.5211254472594,736.6300865644636,837,837,837,837,837,837,837,837,837,750,208.81334303290024,304.12235086833084,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
89,276.4693994999159,339.3442343493767,427.2870974977637,510.4558292630739,574.533475417684,657.167193939649,736.5142187758511,837,837,837,837,837,837,837,837,837,750,212.37616850559277,304.9320776917488,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
90,275.8468603300814,339.488605590406,427.2376557960998,510.3914720574695,574.8018186442108,657.1093697954337,736.2445130471526,837,837,837,837,837,837,837,837,837,750,212.21603498046585,304.9292341695426,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
91,276.55648216962624,339.29035139015826,424.38597106830167,510.4150237934391,577.3368168310648,660.3687356844957,738.7690941419592,837,837,837,837,837,837,837,837,837,750,211.4559059060481,304.9495982175613,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
92,276.3883662717768,338.61159399699625,431.0569675987044,510.6435743926513,575.0749456096296,657.2478215485828,736.0225379385604,837,837,837,837,837,837,837,837,837,750,212.35840041469464,304.7953915754553,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
93,275.8468603300814,339.488605590406,427.2453380952436,510.3654459140584,574.7367230689952,657.4041810697998,734.6861214548858,837,837,837,837,837,837,837,837,837,750,212.35840041469464,304.9292341695426,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
94,276.116375781765,338.4431990519304,429.7930855129446,510.259937748811,574.8365323820694,657.0797999902439,736.6904102542039,837,837,837,837,837,837,837,837,837,750,212.37516274656377,304.92500941113406,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
95,275.08703405191056,339.488605590406,429.55526911556,511.045160363308,574.9248630938629,657.2831509210105,735.5459858540025,837,837,837,837,837,837,837,837,837,750,212.37616850559277,304.9292341695426,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
96,275.8468603300814,339.4485370995317,429.73106864421646,510.93286034616943,575.6488042004312,657.2859427756738,736.133041596777,837,837,837,837,837,837,837,837,837,750,212.35840041469464,304.9292341695426,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
97,275.3565495035941,339.5220448502593,427.2768187717255,509.8146227731676,574.8365323820694,657.2500282688288,736.3528766607803,837,837,837,837,837,837,837,837,837,750,212.39293083746188,304.92500941113406,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
98,276.29085370299106,341.7304932017537,434.6121471264221,511.2330546831125,576.0454827912922,656.5597441100045,735.374042471688,837,837,837,837,837,837,837,837,837,750,212.3129856813989,303.9723292630472,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
99,275.8468603300814,341.7311510539788,434.6121471264221,511.88312333609457,575.059493837791,656.7106207888553,736.6464680396233,837,837,837,837,837,837,837,837,837,750,212.264314122025,304.5958856477056,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
100,275.8468603300814,338.6450332568496,431.04274087367423,511.3310461572161,575.0066265872513,657.2566166861544,735.3869244411447,837,837,837,837,837,837,837,837,837,750,212.37516274656377,304.4772224721619,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
101,276.29085370299106,343.3349998040506,437.67972541465423,511.1831234835741,576.1964806717317,657.1988671533315,735.4910738775337,837,837,837,837,837,837,837,837,837,750,212.5424611778348,304.9292341695426,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
102,276.116375781765,339.7238790551785,431.12603082400585,509.82260473185727,575.059493837791,657.0906996172864,736.10065722808,837,837,837,837,837,837,837,837,837,750,212.37516274656377,304.9292341695426,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
103,276.116375781765,343.3349998040506,437.6423855138847,511.2382374933625,575.1338225737705,657.2819498930197,736.599806255339,837,837,837,837,837,837,837,837,837,750,212.37516274656377,304.9292341695426,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
104,276.0213382513075,353.4042851186699,440.3207040819093,511.78353879342535,575.9288794115232,657.3068850806626,735.5996828079668,837,837,837,837,837,837,837,837,837,750,212.52569884596565,304.93630245015737,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
105,275.9871360698536,346.9243807562129,438.3332864452152,511.8243299734804,575.9576679613766,657.4174195547619,736.2433731251128,837,837,837,837,837,837,837,837,837,750,212.400095743606,304.9292341695426,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
106,276.0213382513075,343.3349998040506,437.7357115422045,511.744094945221,575.9107258988421,657.3169871807472,736.0749671343963,837,837,837,837,837,837,837,837,837,750,212.52569884596565,304.9292341695426,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
107,276.2199623578051,353.8723851802214,440.3207040819093,511.4600036515258,575.9107258988421,656.9648199724976,735.6425077982512,837,837,837,837,837,837,837,837,837,750,212.52569884596565,304.9292341695426,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
108,277.9716621684714,354.0815287606848,440.39935275286,512.141852010427,576.8746761813753,656.8175547276342,736.2451340378193,837,837,837,837,837,837,837,837,837,750,212.5424611778348,304.9292341695426,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
109,276.3149998882626,353.9058244400747,437.9129862613167,510.7156489753544,573.9502114229266,656.6413859499675,736.5784019651834,837,837,837,837,837,837,837,837,837,750,212.37516274656377,304.9292341695426,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
110,276.04548443657904,353.72882798040774,440.2783087368186,511.7457626390794,575.1288359178374,656.1635882402563,736.1118695475272,837,837,837,837,837,837,837,837,837,750,212.35840041469464,304.95702286575425,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
