序号,上部温度1,上部温度2,上部温度3,上部温度4,上部温度5,上部温度6,上部温度7,上部温度8,上部温度9,上部温度10,上部温度11,上部温度12,上部温度13,上部温度14,上部温度15,上部温度16,上部温度17,下部温度1,下部温度2,下部温度3,下部温度4,下部温度5,下部温度6,下部温度7,下部温度8,下部温度9,下部温度10,下部温度11,下部温度12,下部温度13,下部温度14,下部温度15,下部温度16,下部温度17
15,245.63,329.45,406.77,503.94,573.45,647.53,735.74,837.18,837.09,837.28,837.19,837.14,836.88,836.39,837.2,838.5,752.0,218.64,300.75,400.14,500.02,522.69,608.75,720.0,836.99,494.26,837.09,836.74,836.77,836.81,836.87,836.76,837.19,750.12
16,245.63,329.66,406.56,503.86,573.57,647.52,735.69,837.18,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.97,218.81,300.78,400.05,500.07,522.68,608.76,719.99,836.99,494.3,837.09,836.72,836.77,836.85,836.87,836.76,837.16,750.06
17,245.88,329.73,406.48,503.93,573.69,647.51,735.61,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.98,218.57,300.75,400.13,500.05,522.66,608.88,719.99,836.99,494.25,837.09,836.72,836.77,836.85,836.87,836.76,837.18,750.07
18,245.95,332.52,406.44,503.89,574.35,640.21,732.31,837.18,837.09,837.28,837.18,837.15,836.88,836.39,837.14,838.52,751.98,218.58,300.76,400.16,499.93,522.82,608.88,719.98,837.0,494.29,837.09,836.84,836.78,836.85,836.89,836.77,837.19,750.08
19,245.98,330.58,406.82,503.95,574.49,647.51,735.74,837.17,837.09,837.28,837.19,837.14,836.88,836.39,837.14,838.48,751.97,218.65,300.76,400.14,500.02,522.67,608.75,720.0,836.99,494.26,837.09,836.73,836.76,836.81,836.87,836.76,837.18,750.09
20,245.97,330.65,406.85,503.94,574.51,647.52,735.73,837.17,837.09,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.97,218.64,300.74,400.14,500.02,522.67,608.75,720.0,836.99,494.26,837.08,836.73,836.76,836.81,836.87,836.76,837.19,750.09
21,245.98,330.25,406.8,503.94,574.55,647.52,735.74,837.17,837.09,837.28,837.19,837.14,836.88,836.39,837.12,838.48,751.97,218.66,300.77,400.14,500.04,522.69,608.89,720.0,836.98,494.26,837.08,836.74,836.76,836.81,836.87,836.76,837.2,750.1
22,245.98,330.53,406.56,503.9,574.57,647.51,735.61,837.19,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.97,218.55,300.75,400.1,500.04,522.69,608.88,719.99,836.99,494.26,837.09,836.72,836.77,836.81,836.87,836.76,837.18,750.07
23,246.04,329.94,406.83,503.94,573.81,647.52,735.56,837.17,837.09,837.28,837.19,837.14,836.88,836.39,837.2,838.48,751.97,218.63,300.73,400.13,500.0,522.66,608.75,720.0,836.98,494.26,837.08,836.73,836.76,836.81,836.87,836.76,837.19,750.09
24,246.09,330.62,406.77,503.94,574.59,647.53,735.61,837.17,837.09,837.28,837.19,837.14,836.88,836.39,837.13,838.49,752.04,218.7,300.76,400.09,500.04,522.67,608.88,719.99,836.98,494.26,837.08,836.74,836.76,836.81,836.87,836.76,837.2,750.09
25,246.52,330.83,406.71,503.94,574.59,647.51,735.61,837.19,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.51,752.02,218.68,300.75,400.09,500.05,522.66,608.88,719.99,836.99,494.26,837.09,836.74,836.76,836.81,836.87,836.76,837.18,750.11
26,246.69,330.42,406.74,503.94,574.53,647.53,735.74,837.16,837.09,837.28,837.19,837.14,836.88,836.39,837.09,838.47,751.96,218.71,300.77,400.12,500.03,522.67,608.75,719.99,836.99,494.26,837.08,836.74,836.76,836.81,836.87,836.76,837.24,750.11
27,246.75,330.7,406.7,503.94,574.59,647.53,735.65,837.17,837.09,837.28,837.19,837.14,836.88,836.39,837.12,838.48,751.85,218.7,300.72,400.09,500.05,522.67,608.88,719.97,836.98,494.26,837.08,836.74,836.76,836.81,836.87,836.76,837.22,750.1
28,246.76,330.66,406.36,503.94,573.6,647.58,735.69,837.16,837.09,837.28,837.19,837.14,836.88,836.43,837.12,838.47,751.64,218.7,300.79,400.16,500.09,522.67,608.88,719.99,836.99,494.26,837.16,836.78,836.76,836.81,836.91,836.76,837.26,749.96
29,246.75,330.2,406.82,503.94,573.8,647.52,735.72,837.16,837.09,837.28,837.19,837.14,836.88,836.39,837.13,838.49,751.96,218.56,300.72,400.14,500.01,522.67,608.75,719.98,836.99,494.26,837.08,836.73,836.76,836.81,836.87,836.76,837.19,750.09
30,246.76,330.83,406.59,503.95,574.57,647.51,735.71,837.18,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.51,752.01,218.69,300.75,400.1,500.05,522.66,608.88,719.99,836.99,494.26,837.09,836.74,836.76,836.85,836.87,836.76,837.18,750.1
31,246.75,330.74,406.77,503.94,574.56,647.53,735.71,837.16,837.09,837.28,837.19,837.14,836.88,836.39,837.11,838.47,751.96,218.76,300.77,400.09,500.05,522.67,608.89,720.0,836.99,494.26,837.08,836.74,836.76,836.81,836.87,836.76,837.24,750.08
32,246.71,330.68,406.62,503.94,574.55,647.53,735.61,837.18,837.09,837.28,837.19,837.14,836.88,836.39,837.19,838.49,752.03,218.78,300.74,400.1,500.05,522.65,608.88,719.99,836.99,494.26,837.09,836.74,836.76,836.81,836.87,836.76,837.2,750.11
33,246.69,330.85,406.66,503.91,574.54,647.52,735.71,837.16,837.09,837.28,837.19,837.14,836.88,836.39,837.15,838.51,751.99,218.59,300.81,400.1,500.07,522.65,608.88,719.99,836.99,494.26,837.09,836.74,836.77,836.85,836.87,836.76,837.2,750.06
34,246.69,330.57,406.93,503.69,574.44,647.48,735.71,837.17,837.07,837.28,837.27,837.12,836.8,836.4,837.11,838.51,752.21,218.1,300.76,400.2,500.01,519.28,608.88,720.02,836.98,494.26,837.08,836.71,836.77,836.77,836.86,836.74,837.15,750.02
35,246.69,330.73,406.74,503.94,574.53,647.51,735.74,837.19,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.97,218.67,300.75,400.14,500.03,522.66,608.89,720.0,836.99,494.26,837.09,836.74,836.76,836.81,836.87,836.76,837.19,750.1
36,246.69,330.58,406.86,503.94,574.5,647.51,735.74,837.17,837.09,837.28,837.19,837.14,836.88,836.39,837.14,838.48,751.94,218.68,300.78,400.14,500.02,522.69,608.75,720.0,836.98,494.26,837.08,836.74,836.76,836.81,836.87,836.76,837.24,750.11
37,246.69,330.44,406.74,503.94,574.53,647.51,735.74,837.19,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.97,218.53,300.75,400.14,500.04,522.69,608.89,720.0,836.98,494.26,837.08,836.73,836.76,836.81,836.87,836.76,837.18,750.09
38,246.7,330.8,406.26,505.6,573.72,655.92,735.78,837.19,837.12,837.28,837.19,837.09,836.88,836.4,837.32,838.5,751.88,218.13,300.62,399.75,500.1,522.64,608.71,720.65,836.9,494.18,837.08,836.77,836.78,836.8,836.83,836.84,837.17,750.04
39,246.69,330.3,406.66,503.91,574.55,647.52,735.61,837.19,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,752.03,218.53,300.75,400.11,500.04,522.67,608.88,719.99,836.99,494.26,837.09,836.72,836.77,836.81,836.87,836.76,837.18,750.08
40,246.69,330.58,406.79,503.95,574.49,647.54,735.74,837.18,837.09,837.28,837.19,837.14,836.88,836.39,837.2,838.51,751.96,218.64,300.73,400.12,500.02,522.66,608.75,719.99,836.99,494.26,837.09,836.73,836.77,836.81,836.87,836.76,837.2,750.1
41,246.69,329.99,406.47,503.94,574.58,647.51,735.71,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.97,218.48,300.78,400.13,500.05,522.67,608.88,719.99,836.99,494.25,837.09,836.72,836.77,836.85,836.87,836.76,837.18,750.07
42,246.69,329.81,406.7,503.9,574.54,647.51,735.69,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.49,751.96,218.55,300.75,400.11,500.04,522.69,608.88,719.99,836.99,494.26,837.09,836.72,836.76,836.81,836.87,836.76,837.18,750.08
43,246.69,330.19,406.36,501.44,574.57,647.7,735.61,836.95,837.44,837.28,837.19,837.14,836.88,836.39,837.16,838.6,752.33,217.96,300.83,399.33,499.77,521.87,608.88,720.01,836.99,494.14,837.08,836.71,836.77,836.82,836.87,837.01,837.18,750.0
44,246.52,329.11,406.81,503.94,573.91,647.53,735.56,837.16,837.09,837.28,837.19,837.14,836.88,836.39,837.12,838.48,751.95,218.6,300.75,400.1,500.02,522.67,608.75,720.01,837.0,494.26,837.08,836.73,836.76,836.83,836.87,836.76,837.24,750.11
45,246.48,329.12,406.4,503.91,573.01,647.57,735.56,837.18,837.07,837.28,837.19,837.14,836.88,836.43,837.2,838.49,751.81,218.42,300.73,400.13,500.04,522.68,608.75,720.0,836.99,494.26,837.17,836.75,836.77,836.81,836.91,836.76,837.2,749.96
46,246.47,329.54,406.75,503.95,574.75,647.52,735.69,837.18,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.51,751.85,218.65,300.75,400.15,500.04,522.66,608.88,719.99,836.99,494.26,837.09,836.74,836.77,836.81,836.87,836.76,837.18,750.08
47,246.47,329.36,406.75,503.95,574.7,647.52,735.74,837.18,837.09,837.28,837.19,837.14,836.88,836.39,837.2,838.48,751.94,218.65,300.72,400.14,500.01,522.66,608.75,720.0,836.99,494.26,837.09,836.74,836.76,836.81,836.87,836.76,837.2,750.12
48,246.47,329.69,406.6,503.94,574.76,647.51,735.71,837.18,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.51,752.01,218.64,300.78,400.1,500.05,522.65,608.88,719.99,836.99,494.26,837.09,836.74,836.76,836.85,836.87,836.76,837.19,750.08
49,246.47,329.46,406.75,503.9,574.75,647.52,735.71,837.19,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.96,218.51,300.76,400.11,500.05,522.67,608.89,719.99,836.99,494.26,837.09,836.72,836.77,836.81,836.87,836.76,837.18,750.08
50,246.47,329.46,406.57,503.9,574.75,647.51,735.71,837.19,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.96,218.57,300.75,400.12,500.05,522.67,608.89,719.99,836.99,494.25,837.09,836.72,836.77,836.81,836.87,836.76,837.18,750.08
51,246.49,329.72,406.82,503.94,574.75,647.52,735.69,837.18,837.09,837.28,837.19,837.14,836.88,836.39,837.2,838.49,751.84,218.53,300.74,400.15,500.05,522.66,608.88,719.99,836.99,494.26,837.09,836.72,836.77,836.81,836.87,836.76,837.2,750.09
52,246.49,330.04,406.77,503.91,574.73,647.51,735.73,837.18,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.49,751.97,218.71,300.73,400.14,500.0,522.69,608.75,720.0,836.99,494.26,837.09,836.73,836.77,836.81,836.87,836.76,837.18,750.12
53,246.5,329.04,406.72,504.18,575.22,648.43,735.19,837.17,837.09,837.28,837.19,837.18,836.88,836.39,837.16,838.5,752.14,217.79,300.69,400.29,499.95,521.85,617.44,720.2,836.99,494.56,837.04,836.57,836.77,836.81,836.87,836.76,837.17,750.16
54,246.49,329.6,406.65,503.97,574.77,647.51,735.74,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.49,751.97,218.84,300.75,400.17,500.03,522.67,608.89,720.0,836.99,494.25,837.09,836.72,836.77,836.81,836.87,836.76,837.18,750.09
55,246.45,329.12,406.74,503.91,574.01,647.52,735.56,837.18,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.49,751.99,218.58,300.74,400.15,500.0,522.68,608.75,720.0,836.99,494.25,837.09,836.73,836.77,836.81,836.87,836.76,837.19,750.09
56,246.45,329.47,406.8,503.94,574.7,647.52,735.74,837.17,837.09,837.28,837.19,837.14,836.88,836.39,837.16,838.48,751.98,218.65,300.75,400.14,500.02,523.12,608.75,720.0,836.99,494.26,837.09,836.74,836.77,836.81,836.87,836.76,837.19,750.1
57,246.45,329.69,406.55,503.89,574.76,647.51,735.71,837.18,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.51,751.98,218.81,300.78,400.03,500.05,522.68,608.88,719.99,836.99,494.3,837.09,836.72,836.77,836.85,836.87,836.76,837.18,750.07
58,246.11,329.69,406.47,503.92,574.79,647.51,735.71,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.98,218.79,300.78,400.08,500.07,522.69,608.88,719.99,836.99,494.29,837.09,836.72,836.77,836.85,836.87,836.76,837.18,750.07
59,246.05,329.88,406.59,503.86,574.7,647.51,735.74,837.18,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.96,218.55,300.73,400.08,500.01,522.67,608.75,719.99,836.99,494.3,837.09,836.71,836.77,836.85,836.87,836.76,837.18,750.09
60,246.04,329.53,406.7,503.95,574.75,647.52,735.69,837.18,837.09,837.28,837.19,837.14,836.88,836.39,837.2,838.47,751.94,218.54,300.79,400.11,500.04,522.67,608.88,719.99,836.99,494.25,837.09,836.72,836.77,836.81,836.87,836.76,837.2,750.08
61,245.56,331.13,406.42,503.91,574.77,647.49,735.71,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.19,838.55,752.05,215.65,300.78,400.17,500.04,522.67,608.88,719.99,836.99,494.26,837.04,836.73,836.76,836.83,836.87,836.78,837.17,750.1
62,246.04,329.74,406.76,503.94,574.76,647.52,735.61,837.19,837.07,837.28,837.19,837.14,836.88,836.39,837.14,838.5,752.15,218.62,300.75,400.09,500.06,522.65,608.88,719.99,836.99,494.26,837.09,836.74,836.77,836.81,836.87,836.75,837.17,750.09
63,246.15,329.8,406.55,503.85,574.76,647.51,735.71,837.18,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.98,218.49,300.78,400.05,500.07,522.66,608.81,719.99,836.99,494.3,837.09,836.73,836.77,836.85,836.87,836.76,837.16,750.07
64,247.06,329.81,406.62,503.89,574.76,647.51,735.65,837.18,837.09,837.28,837.19,837.14,836.88,836.39,837.2,838.49,751.97,218.55,300.75,400.05,500.06,522.68,608.88,719.99,836.99,494.3,837.09,836.72,836.77,836.85,836.87,836.76,837.2,750.09
65,247.48,329.89,406.47,503.94,574.79,647.51,735.61,837.19,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,752.04,218.57,300.75,400.13,500.04,522.66,608.88,719.99,836.99,494.25,837.09,836.72,836.77,836.85,836.87,836.76,837.18,750.08
66,247.59,330.37,406.47,503.89,574.79,647.51,735.61,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,752.03,218.57,300.75,400.06,500.05,522.67,608.88,719.99,836.99,494.29,837.09,836.72,836.77,836.85,836.87,836.76,837.18,750.08
67,247.63,330.62,406.6,503.94,574.79,647.53,735.69,837.17,837.07,837.28,837.19,837.14,836.88,836.39,837.14,838.51,751.99,218.58,300.79,400.03,500.09,522.69,608.78,719.99,836.99,494.3,837.09,836.74,836.77,836.85,836.87,836.76,837.14,750.08
68,247.63,330.62,406.47,503.94,574.79,647.51,735.65,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.97,218.6,300.78,400.13,500.04,523.11,608.88,719.99,836.99,494.25,837.09,836.72,836.77,836.81,836.87,836.76,837.18,750.08
69,247.63,330.64,406.47,503.97,574.79,647.52,735.71,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,752.26,218.45,300.78,400.08,500.08,522.87,608.81,719.99,836.99,494.29,837.09,836.72,836.77,836.85,836.87,836.76,837.07,750.07
70,247.63,330.64,406.47,503.93,574.79,647.52,735.69,837.19,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.99,218.77,300.78,400.08,500.1,522.69,608.76,719.99,836.99,494.29,837.09,836.72,836.77,836.85,836.87,836.76,837.16,750.07
71,247.61,330.64,406.5,503.98,574.79,647.51,735.61,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.51,752.03,218.73,300.75,400.16,500.05,523.11,608.88,719.99,836.99,494.25,837.09,836.73,836.77,836.8,836.87,836.76,837.18,750.09
72,247.6,330.63,406.69,503.94,574.76,647.52,735.61,837.17,837.09,837.28,837.19,837.14,836.88,836.39,837.16,838.48,752.06,218.7,300.75,400.09,500.06,523.09,608.88,719.99,836.99,494.26,837.09,836.74,836.77,836.81,836.87,836.76,837.2,750.09
73,247.6,330.58,406.65,503.98,574.78,647.51,735.71,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.97,218.59,300.76,400.14,500.07,523.11,608.89,719.99,836.99,494.25,837.09,836.72,836.77,836.81,836.87,836.76,837.18,750.08
74,247.6,330.32,406.53,503.98,574.73,647.52,735.74,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.49,752.0,218.62,300.75,400.2,500.04,522.69,608.75,719.99,836.99,494.25,837.09,836.74,836.77,836.81,836.87,836.76,837.17,750.09
75,247.6,331.29,406.47,503.96,574.83,647.52,735.69,837.18,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.98,219.05,300.78,400.09,500.07,523.13,608.81,719.99,836.99,494.29,837.09,836.72,836.77,836.85,836.87,836.76,837.16,750.07
76,247.6,330.63,406.66,503.9,574.79,647.53,735.69,837.18,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.49,751.98,218.62,300.78,400.12,500.03,523.13,608.78,719.99,836.99,494.26,837.09,836.74,836.77,836.81,836.87,836.76,837.15,750.07
77,247.62,331.3,406.35,504.01,574.83,647.52,735.69,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.51,751.96,218.64,300.78,400.08,500.03,523.13,608.78,719.99,836.99,494.29,837.09,836.72,836.77,836.84,836.87,836.76,837.16,750.07
78,247.62,330.68,406.54,503.98,574.78,647.51,735.69,837.18,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.95,218.87,300.75,400.16,500.05,522.67,608.88,719.99,836.99,494.25,837.09,836.72,836.77,836.81,836.87,836.76,837.18,750.09
79,247.62,331.33,406.35,504.01,574.88,647.52,735.69,837.21,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.54,751.96,218.68,300.78,400.08,500.03,523.13,608.8,719.99,836.99,494.29,837.09,836.71,836.76,836.84,836.87,836.76,837.16,750.07
80,247.62,330.67,406.47,503.98,574.87,647.51,735.65,837.18,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.96,218.92,300.78,400.05,500.06,523.11,608.88,719.99,836.99,494.25,837.09,836.72,836.77,836.81,836.87,836.76,837.18,750.08
81,247.58,331.32,406.39,503.95,574.88,647.51,735.69,837.19,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.81,218.69,300.75,400.14,500.06,523.13,608.88,719.99,836.99,494.29,837.09,836.72,836.77,836.85,836.87,836.76,837.18,750.08
82,247.57,330.67,406.51,503.97,574.87,647.51,735.69,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.51,751.93,218.94,300.75,400.16,500.05,523.1,608.88,719.99,836.99,494.25,837.09,836.72,836.77,836.8,836.87,836.76,837.18,750.09
83,247.56,331.28,406.35,504.06,574.92,647.52,735.69,837.21,837.07,837.28,837.19,837.14,836.88,836.39,837.19,838.54,751.97,218.68,300.78,400.02,500.04,523.13,608.8,719.99,836.99,494.29,837.09,836.71,836.76,836.84,836.87,836.76,837.16,750.07
84,247.56,331.27,406.35,503.93,574.88,647.51,735.71,837.18,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.95,218.84,300.78,400.08,500.05,523.1,608.88,719.99,836.99,494.29,837.09,836.72,836.77,836.85,836.87,836.76,837.18,750.07
85,247.56,331.27,406.35,503.96,574.92,647.52,735.69,837.18,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.96,218.63,300.78,400.09,500.04,523.13,608.78,719.99,836.99,494.29,837.09,836.72,836.77,836.85,836.87,836.76,837.16,750.07
86,247.56,331.27,406.35,503.96,574.92,647.52,735.69,837.18,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.95,218.86,300.78,400.09,500.04,523.13,608.78,719.99,836.99,494.29,837.09,836.72,836.77,836.85,836.87,836.76,837.16,750.07
87,247.56,331.32,406.4,504.06,574.91,647.52,735.69,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.51,751.96,218.68,300.78,400.08,500.03,523.13,608.81,719.99,836.99,494.29,837.09,836.71,836.77,836.85,836.87,836.76,837.16,750.07
88,247.56,331.69,406.08,501.22,574.93,647.71,735.69,836.95,837.44,837.28,837.19,837.14,836.88,836.39,837.16,838.61,752.23,218.03,300.83,399.31,499.77,522.32,608.78,720.0,836.99,494.17,837.08,836.71,836.77,836.86,836.87,837.01,837.16,750.01
89,247.57,331.28,406.35,503.97,574.88,647.51,735.71,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.5,751.95,218.73,300.78,400.06,500.07,523.11,608.88,719.99,836.99,494.29,837.09,836.72,836.77,836.85,836.87,836.76,837.18,750.06
90,247.58,331.27,406.35,504.14,574.88,647.51,735.71,837.21,837.07,837.28,837.19,837.14,836.88,836.39,837.19,838.54,752.0,218.61,300.78,400.06,500.06,523.11,608.88,719.99,836.99,494.29,837.09,836.72,836.76,836.84,836.87,836.76,837.19,750.07
91,247.7,330.92,406.34,504.21,575.36,648.36,735.19,837.21,837.07,837.28,837.19,837.18,836.88,836.39,837.19,838.54,752.19,217.73,300.75,400.18,499.93,522.04,617.44,720.19,836.99,494.59,837.04,836.57,836.76,836.84,836.87,836.78,837.16,750.18
92,247.73,331.28,406.35,504.16,574.89,647.51,735.65,837.21,837.07,837.28,837.19,837.14,836.88,836.39,837.19,838.54,751.97,218.69,300.78,400.11,500.06,523.13,608.88,719.99,836.99,494.25,837.09,836.72,836.76,836.84,836.87,836.76,837.19,750.07
93,247.73,331.28,406.35,504.01,574.9,647.51,735.71,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.51,751.84,218.65,300.78,400.07,500.06,523.11,608.88,719.99,836.99,494.29,837.09,836.72,836.77,836.85,836.87,836.76,837.18,750.07
94,247.73,331.28,406.35,504.15,574.93,648.37,735.69,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.21,838.54,751.91,218.4,300.78,400.17,500.04,523.11,608.78,719.99,836.99,494.29,837.06,836.72,836.76,836.82,836.87,836.78,837.16,750.07
95,247.73,331.28,406.4,504.15,574.93,648.06,735.69,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.21,838.57,752.14,218.36,300.78,400.13,500.04,523.13,608.81,719.99,836.99,494.29,837.06,836.71,836.76,836.84,836.87,836.78,837.16,750.07
96,247.73,331.33,406.4,504.03,575.11,647.52,735.69,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.51,752.0,218.68,300.78,400.03,500.03,523.11,608.81,719.99,836.99,494.29,837.09,836.71,836.77,836.84,836.87,836.76,837.16,750.08
97,247.73,331.28,406.35,504.04,574.9,647.51,735.61,837.2,837.07,837.28,837.19,837.14,836.88,836.39,837.2,838.51,751.92,218.73,300.78,400.02,500.07,523.11,608.88,719.99,836.99,494.29,837.09,836.72,836.77,836.84,836.87,836.76,837.18,750.08
98,247.73,331.34,406.46,503.15,575.07,648.52,735.69,837.21,837.07,837.28,837.19,837.14,836.88,836.43,837.2,838.54,752.19,218.27,300.86,400.2,500.07,523.13,608.81,719.99,836.99,494.29,837.09,836.81,836.76,836.79,836.87,836.76,837.16,750.04
