Num,TU1,TU2,TU3,TU4,TU5,TU6,TU7,TU8,TU9,TU10,TU11,TU12,TU13,TU14,TU15,TU16,TU17,TD1,TD2,TD3,TD4,TD5,TD6,TD7,TD8,TD9,TD10,TD11,TD12,TD13,TD14,TD15,TD16,TD17
19,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
20,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
21,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
22,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
23,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
24,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
25,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
26,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
27,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
28,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
29,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
30,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
31,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
32,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
33,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
34,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
35,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
36,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
37,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
38,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
39,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
40,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
41,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
42,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
43,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
44,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
45,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
46,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
47,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
48,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
49,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
50,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
51,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
52,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
53,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
54,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
55,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
56,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
57,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
58,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
59,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
60,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
61,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
62,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
63,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
64,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
65,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
66,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
67,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
68,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
69,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
70,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
71,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
72,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
73,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
74,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
75,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
76,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
77,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
78,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
79,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
80,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
81,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
82,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
83,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
84,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
85,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
86,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
87,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
88,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
89,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
90,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
91,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
92,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
93,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
94,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
95,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
96,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
97,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
98,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
99,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
100,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
101,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
102,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
103,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
104,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
105,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
106,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
107,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
108,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
109,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
110,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
111,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
112,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
113,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
114,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
115,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
116,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
117,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
118,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
119,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
120,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
121,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
122,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
123,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
124,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,750
125,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,749,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,749
126,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,747,200,300,400,500,500,600,720,837,837,837,837,837,837,837,837,837,747
127,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,745,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,745
128,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,744,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,744
129,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,742,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,742
130,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,740,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,740
131,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,738,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,738
132,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,737,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,737
133,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,735,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,735
134,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,733,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,733
135,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,732,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,732
136,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,730,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,730
137,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,728,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,728
138,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,726,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,726
139,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,725,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,725
140,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,723,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,723
141,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,721,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,721
142,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,719,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,719
143,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,718,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,718
144,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,716,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,716
145,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,714,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,714
146,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,712,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,712
147,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,711,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,711
148,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,709,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,709
149,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,707,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,707
150,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,705,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,705
151,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,704,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,704
152,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,702,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,702
153,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
154,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
155,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
156,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
157,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
158,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
159,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
160,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
161,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
162,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
163,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
164,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
165,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
166,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
167,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
168,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
169,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
170,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
171,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
172,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
173,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
174,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
175,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
176,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
177,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
178,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
179,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
180,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
181,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
182,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
183,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
184,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
185,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
186,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
187,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
188,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
189,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
190,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
191,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
192,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
193,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
194,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
195,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
196,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700,200,300,400,500,500,600,720,836,836,836,836,836,836,836,836,836,700
